Date,Open,High,Low,Close,Volume 
2022.01.02 22:00:00,1.1369,1.13741,1.13649,1.13729,1109.2885
2022.01.02 23:00:00,1.13721,1.13782,1.13692,1.13727,1707.08
2022.01.03 00:00:00,1.13726,1.13755,1.13608,1.13618,1110.02
2022.01.03 01:00:00,1.13619,1.13651,1.13498,1.13584,1629.44
2022.01.03 02:00:00,1.13584,1.13585,1.13423,1.13425,1275.42
2022.01.03 03:00:00,1.13428,1.135,1.13412,1.13481,800.04
2022.01.03 04:00:00,1.13482,1.13489,1.13385,1.13403,737.62
2022.01.03 05:00:00,1.13404,1.13411,1.13359,1.13378,622.79
2022.01.03 06:00:00,1.13378,1.13462,1.13377,1.13429,794.72
2022.01.03 07:00:00,1.1343,1.135,1.13349,1.1348,2250.34
2022.01.03 08:00:00,1.13479,1.13479,1.13352,1.13465,3626.22
2022.01.03 09:00:00,1.13465,1.13563,1.13356,1.13516,4013.52
2022.01.03 10:00:00,1.13516,1.13596,1.13506,1.13551,4724.4
2022.01.03 11:00:00,1.13552,1.13661,1.13514,1.13554,4736.74
2022.01.03 12:00:00,1.13554,1.13594,1.13465,1.13586,4693.59
2022.01.03 13:00:00,1.13588,1.13641,1.13458,1.13506,8253.01
2022.01.03 14:00:00,1.13507,1.13517,1.12997,1.13061,9772.65
2022.01.03 15:00:00,1.13064,1.13093,1.12902,1.12915,9861.53
2022.01.03 16:00:00,1.12916,1.12988,1.12828,1.12888,6274.29
2022.01.03 17:00:00,1.12888,1.12899,1.12797,1.12837,3228.47
2022.01.03 18:00:00,1.12837,1.12969,1.12833,1.12948,2705.23
2022.01.03 19:00:00,1.12948,1.12995,1.12936,1.12971,3726.74
2022.01.03 20:00:00,1.1297,1.13003,1.12937,1.12963,4183.745
2022.01.03 21:00:00,1.12963,1.12992,1.12943,1.12965,808.765
2022.01.03 22:00:00,1.12965,1.12982,1.12929,1.12945,2268.97
2022.01.03 23:00:00,1.12948,1.13022,1.12946,1.13017,1683.94
2022.01.04 00:00:00,1.13016,1.13068,1.13012,1.13056,1624.52
2022.01.04 01:00:00,1.13056,1.13087,1.13013,1.13066,1552.29
2022.01.04 02:00:00,1.13065,1.13094,1.12997,1.13021,1556.56
2022.01.04 03:00:00,1.13021,1.13042,1.12953,1.12975,4119.57
2022.01.04 04:00:00,1.12975,1.13055,1.12962,1.13005,5040.39
2022.01.04 05:00:00,1.13005,1.13057,1.13003,1.13046,4230.51
2022.01.04 06:00:00,1.13046,1.13071,1.12919,1.12931,6494.89
2022.01.04 07:00:00,1.12929,1.12942,1.12831,1.12914,8729.84
2022.01.04 08:00:00,1.12914,1.13002,1.12872,1.12895,8201.28
2022.01.04 09:00:00,1.12894,1.13083,1.12831,1.13019,5143.09
2022.01.04 10:00:00,1.13019,1.13055,1.12944,1.12945,4518.84
2022.01.04 11:00:00,1.12947,1.12963,1.12759,1.1276,4832.06
2022.01.04 12:00:00,1.12763,1.12833,1.12721,1.1273,5207.22
2022.01.04 13:00:00,1.12728,1.12898,1.12728,1.12797,4752.65
2022.01.04 14:00:00,1.128,1.12881,1.12775,1.12846,5530.49
2022.01.04 15:00:00,1.12849,1.13224,1.12834,1.13091,9899.38
2022.01.04 16:00:00,1.13092,1.13154,1.12854,1.12945,7583.54
2022.01.04 17:00:00,1.12943,1.12959,1.12883,1.12936,2229.69
2022.01.04 18:00:00,1.12939,1.12941,1.12794,1.128,2441.66
2022.01.04 19:00:00,1.128,1.1293,1.12779,1.12876,2950.44
2022.01.04 20:00:00,1.12875,1.12894,1.12808,1.12844,1903.575
2022.01.04 21:00:00,1.12845,1.12877,1.12811,1.12861,1009.695
2022.01.04 22:00:00,1.12856,1.12867,1.12823,1.12839,1128.6975
2022.01.04 23:00:00,1.12835,1.1287,1.12817,1.12827,1012.7
2022.01.05 00:00:00,1.12826,1.12855,1.12769,1.12771,1724.27
2022.01.05 01:00:00,1.12773,1.12886,1.12773,1.12857,2026.18
2022.01.05 02:00:00,1.12857,1.12941,1.12849,1.12919,2128.86
2022.01.05 03:00:00,1.12923,1.12967,1.1291,1.12956,1254.58
2022.01.05 04:00:00,1.12956,1.12956,1.12882,1.12887,1756.29
2022.01.05 05:00:00,1.12889,1.12946,1.12873,1.12937,1535.29
2022.01.05 06:00:00,1.12936,1.13011,1.12929,1.12956,2822.9
2022.01.05 07:00:00,1.12956,1.13025,1.12946,1.12986,3042.4
2022.01.05 08:00:00,1.12987,1.13109,1.12966,1.13028,4591.67
2022.01.05 09:00:00,1.13027,1.13085,1.13,1.13062,3981.29
2022.01.05 10:00:00,1.13061,1.13139,1.13042,1.13079,5650.87
2022.01.05 11:00:00,1.13079,1.13237,1.13065,1.13189,6439.23
2022.01.05 12:00:00,1.13191,1.13261,1.13047,1.13076,6876.12
2022.01.05 13:00:00,1.13077,1.13287,1.1303,1.13238,13429.01
2022.01.05 14:00:00,1.13237,1.13386,1.1321,1.13357,7298.65
2022.01.05 15:00:00,1.13356,1.13441,1.13324,1.13369,6230.58
2022.01.05 16:00:00,1.13367,1.13395,1.13227,1.13339,5294.84
2022.01.05 17:00:00,1.1334,1.13463,1.13332,1.13413,3011.82
2022.01.05 18:00:00,1.13412,1.13444,1.13356,1.13371,2220.59
2022.01.05 19:00:00,1.13372,1.13394,1.1308,1.13101,10957.85
2022.01.05 20:00:00,1.13103,1.1313,1.13021,1.13109,2181.105
2022.01.05 21:00:00,1.13107,1.13132,1.13078,1.13116,939.245
2022.01.05 22:00:00,1.13117,1.13139,1.13082,1.13095,716.9725
2022.01.05 23:00:00,1.13096,1.13142,1.13088,1.13105,1689.74
2022.01.06 00:00:00,1.13104,1.1313,1.13074,1.1308,2660.5
2022.01.06 01:00:00,1.13082,1.13185,1.13048,1.13164,3017.64
